(Ashwattha tree) ripe fruit	(অশ্বত্থ গাছের) পাকা ফল
Karauli district	করৌলী জেলা
Cork	কর্ক
Cancer	কর্কট
Cancer	কর্কট রাশি
Cancer	কর্কট রাশিবিশিষ্ট
Cancer line	কর্কট রেখা
Cancer	কর্কট রোগ
Cancer	কর্কটক
Cancer	কর্কটরাশি
Cancer	কর্করোগ
Hoarse voice	কর্কশ স্বর
Roughness	কর্কশতা
Roughness	কর্কশত্ব
Roughness	কর্কশভাব
Cancer	কর্কোটক
Cortex	কর্টেক্স
Cordial	কর্ডিয়াল
Ears	কর্ণ
Karna Kundal	কর্ণ কুন্ডল
Karna Kuhar	কর্ণ কুহর
Ear piercing	কর্ণ ছিদ্র
Karna Patah	কর্ণ পটহ
Ear-coil	কর্ণ-কুন্ডল
Atrial fibrillation	কর্ণকসন্নিপাত
Earworm	কর্ণকীট
Earlobe	কর্ণকুন্ডল
Captain	কর্ণধার
Karnapali	কর্ণপালি
Karnapali	কর্ণপালী
The auricular gland	কর্ণপূর্ব গ্রন্থি
Ear saliva glands	কর্ণপূর্ব লালা গ্রন্থি
Otitis media	কর্ণপূর্বগ্রন্থিশোথ
Karnaful	কর্ণফুল
Deafness	কর্ণবেধনী
Eardrums	কর্ণভাষ
Karnabhushan	কর্ণভূষণ
Karnamal	কর্ণমল
Earlobe	কর্ণমূল
Colonel	কর্ণলতিকা
Karnataka	কর্ণাট
Karnataka rage	কর্ণাট রাগ
Karnataka	কর্ণাটক
Residents of Karnataka	কর্ণাটকবাসী
Karnataka	কর্ণাটী
Cornelius	কর্ণিক
Karnika	কর্ণিকা
Corner	কর্ণিকার
Karnopakarnika	কর্ণোপকর্ণিকা
Cutting	কর্তন
Duty	কর্তব্য
Duty	কর্তব্যপালন
Dereliction of duty	কর্তব্যবিমুখতা
Master	কর্তা
Doer	কর্তা কারক
Boss	কর্তাধর্তা
Authority	কর্তৃকারক
Authoritative	কর্তৃবাচ্য
Mud	কর্দম
Kardam Rishi	কর্দম ঋষি
Karnataka	কর্নাটকী
Colonel	কর্নাল
Cornica	কর্নিকা
Colonel	কর্নেল
Corpus callosum	কর্পুরনালিকা
Camphor	কর্পূর
Karpurgauri	কর্পূরগৌরী
Coriander	কর্পূরমণি
Kerber	কর্বর
Action	কর্ম
Action factor	কর্ম কারক
Action skills	কর্ম দক্ষতা
Activities	কর্মকান্ড
Blacksmith	কর্মকার
Carpenter's wife	কর্মকারের স্ত্রী
Employee	কর্মচারী
Crowds of employees	কর্মচারী বৃন্দ
Employees	কর্মচারীবৃন্দ
Dismiss	কর্মচ্যুত করা
Karmajit	কর্মজিত
Hardworking	কর্মঠ
Efficiency	কর্মদক্ষতা
Karmanasha	কর্মনাশা
Karmanasha river	কর্মনাশা নদী
Karmapanchami	কর্মপঞ্চমী
Workbook	কর্মপুস্তক
Karma	কর্মফল
Verb	কর্মবাচ্য
Strike	কর্মবিরতি
Karmayoga	কর্মযোগ
Workable	কর্মযোগী
Workshop	কর্মশালা
Greatest	কর্মশ্রেষ্ঠ
The greatest sage	কর্মশ্রেষ্ঠ ঋষি
Unemployment	কর্মহীনতা
Karmaramng	কর্মারম্ঙ
Staff	কর্মীদল
Senses	কর্মেন্দ্রিয়
Corrk	কর্রক
Corticosteroids	কর্শিকাস্রাবী
Karsh	কর্ষ
Traction	কর্ষণ
Cultivate	কর্ষণ করা
Wages for cultivating	কর্ষণ করার মজুরী
Towing boat	কর্ষণ নৌকা
Cultivated land	কর্ষিত ভূমি
Call	কল
Call-hinge	কল-কব্জা
Translations into Bishnupriya:	কলকণ্ঠ
Murmur	কলকল ধ্বনি
Kalgi	কলগী
Stigma	কলঙ্ক
Stigma	কলঙ্কলেপন
Kaltora	কলটোরা
Kalatra	কলত্র
Kalpa	কলপ
Kalpetta	কলপেট্টা
The city of Kalpetta	কলপেট্টা শহর
Callbink	কলবিঙ্ক
Pen	কলম
The penman	কলমকার
Penman	কলমজীবি
Pen	কলমতরাশ
Pen	কলমদান
Calligrapher	কলমিস্ত্রী
Pen mango	কলমের আম
The pen tree	কলমের গাছ
Colombo	কলম্বো
The noise	কলরব
Calories	কলরি
Cholera treatment	কলরি চিকিত্সা
Kalash	কলশ
Pitcher	কলস
Pottery	কলসপত্রী
Potted trees	কলসপত্রী গাছ
Pitcher	কলসি
Pitcher	কলসী
Quarrel	কলহ
Cruelty	কলহন্তারিতা
Kalhara	কলহারা
Callahan	কলহিনী
Banana	কলা
Banana style	কলা শৈলী
Art-technique	কলা-কৌশল
Pulses of kalai	কলাই-এর ডাল
Kalaigar	কলাইগার
Artist	কলাকার
Artwork	কলাকার্য
Artistic	কলাত্মকতা
Kaladhar	কলাধর
Kalap	কলাপ
Creator	কলাপক
Kalapini	কলাপিনী
Artist	কলাপী
Kalapur	কলাপুর
Art lover	কলাপ্রেমী
Kalabu	কলাবউ
Artist	কলাবাজ
Collar	কলার
Kalayini	কলায়িনী
Kali	কলি
Tomorrow	কলি কাল
Kali-santaran	কলি-সণ্টারণ
Kali-santaran Upanishad	কলি-সণ্টারণ উপনিষদ
Kollywood	কলিউড
Calling	কলিঙ্গ
Kalingara	কলিঙ্গড়া
Heart	কলিজা
Kalinda	কলিন্দ
Kali Yuga	কলিযুগ
Kaliyugaddhya	কলিযুগাদ্ধ্যা
Kalil	কলিল
Kali	কলী
Kalu	কলু
Colony	কলুনি
Contamination	কলুষ
College	কলেজ
Culver	কলেবর
Mill work	কলের মিস্ত্রীর কাজ
The mouth of the faucet	কলের মুখ
Cholera	কলেরা
Koloibora	কলোইবোড়া
Colonji	কলোঞ্জী
Colony	কলোনি
Colony	কলোনী
Colombia	কলোম্বিয়া
Colombian	কলোম্বিয়ান
Colombian Peso	কলোম্বিয়ান পেসো
Colombian	কলোম্বিয়াবাসী
Calcutta	কল্ক
Kalki	কল্কি
Kalki Avatar	কল্কি অবতার
Kalkidvadashi	কল্কিদ্বাদশী
Fiction	কল্পকথা
Fiction	কল্পকাহিনী
Imaginary	কল্পতরু
Kalpadrum	কল্পদ্রুম
Imagination	কল্পনা
Imagination master	কল্পনা কর্তা
Imaginary essays. Imaginary essays	কল্পনাভিত্তিক রচনা.কল্পনাশ্রিত রচনা
Imagination	কল্পনাশক্তি
Kalpavriksha	কল্পবৃক্ষ
Imagination	কল্পলতা
Fictional place	কল্পিত জায়গা
Fictional creatures	কল্পিত জীব
Fictional objects	কল্পিত বস্তু
Fictional place	কল্পিত স্থান
Kalmaspad	কল্মাষপাদ
Welfare	কল্যাণ
Welfare anger	কল্যাণ রাগ
Welfare	কল্যাণকামোদ
Welfare activities	কল্যাণকারী কার্যক্রম
Kalyanat	কল্যাণনট
Kalyani	কল্যাণী
Kallol	কল্লোল
Kallolini	কল্লোলিনী
Butcher	কশাই
Whip pillar	কশাঘাত স্তম্ভ
Kashar	কশাড়
Kaship	কশীপ
Vertebrae	কশেরুকা
Vertebral bar	কশেরুকা দণ্ড
Kashyapa butterfly	কশ্যপ প্রজাপতি
Tan	কষা
Tanned meat	কষা মাংস
Kasalo	কষালো
Trouble	কষ্ট
Kastipathar	কষ্টিপাথর
Exercise	কসরত
Game of Thrones	কসরতবাজের খেলা
Exercise	কসরতি
Exercise	কসরতী
Butcher	কসাই
Slaughterhouse	কসাইখানা
Kosar	কসার
Kasaragod	কসারাগোড
Kasaragod district	কসারাগোড জেলা
The city of Kasaragod	কসারাগোড শহর
Kosi	কসি
Poem	কসিদা
Musk	কস্তুর
Kasturba	কস্তুরবা
Kasturba Gandhi	কস্তুরবা গান্ধী
Musk	কস্তুরী
Musk deer	কস্তুরী মৃগ
Musk deer	কস্তুরী হরিণ
Cassa	কস্সা
Kahor Rishi	কহোড় ঋষি
Wow	কাঁ-কাঁ
Kank	কাঁক
Crabs	কাঁকড়
Crab	কাঁকড়া
Crab bite	কাঁকড়া বিছের দংশন
Crab horn	কাঁকড়াশিঙি
Bracelets	কাঁকন
The crows	কাঁকপাখি
Gravel	কাঁকর
Gravel district	কাঁকরে জেলা
Crab soil	কাঁকুড়ে মাটি
Crab	কাঁকুড়েভাব
Armpits	কাঁখ
Armpit	কাঁখতল
Armpit	কাঁখতলী
Armpit abscess	কাঁখের ফোড়া
Kangri	কাঁগড়ি
Glass	কাঁচ
Glass stork	কাঁচ সারস
Glass art	কাঁচকলা
Glass bugs	কাঁচপোকা
Glassy	কাঁচবসানো
Raw mango color	কাঁচা আম রঙ
Raw mango color	কাঁচা আমের রঙ
Raw raw feeling	কাঁচা কাঁচা ভাব
Raw book	কাঁচা খাতা
Raw house	কাঁচা ঘর
Raw sugar	কাঁচা চিনি
Ore	কাঁচা ধাতু
Raw pond	কাঁচা পুকুর
Raw fruit	কাঁচা ফল
The length of the raw film	কাঁচা ফিল্মের দৈর্ঘ্য
Raw material	কাঁচা মাল
Raw color	কাঁচা রং
Raw color	কাঁচা রঙ
Raw road	কাঁচা রাস্তা
Cast iron	কাঁচা লোহা
Raw turmeric	কাঁচা হলুদ
Raw golla	কাঁচাগোল্লা
Raw materials	কাঁচামাল
Mud road	কাঁচারাস্তা
Scissors	কাঁচি
Corset	কাঁচুলি
Raw	কাঁচেরা
Kanjai	কাঁজই
Kanjar	কাঁজর
Kanjar race	কাঁজর জাতি
Kanjari	কাঁজরী
Thorns	কাঁটা
Thorns	কাঁটা গাছ
Thorns	কাঁটাছেঁড়া
Thorn house	কাঁটার ঘর
Thorns	কাঁটাল
Thorns	কাঁটিয়া
Jackfruit	কাঁঠলা
Jackfruit	কাঁঠাল
Jackfruit tree	কাঁঠাল গাছ
Kantha	কাঁথা
Mud man	কাঁদার লোক
Crying	কাঁদি
Shoulders	কাঁধ
Shoulder jute	কাঁধ পাট
Tremble	কাঁপা
Trembling	কাঁপুনি
Bronze	কাঁসা
Bronze metal	কাঁসা ধাতু
Bronze jar	কাঁসার ঘড়া
Bronze pot	কাঁসার পাত্র
Kansari	কাঁসারি
Bronze	কাঁসারী
Bronze	কাঁসি
Consul	কাঁসুলা
Cry	কাঁহর
Kahua	কাঁহুয়া
Thorn	কাঁড়া
কড়ী	কাঁড়ী
Kanker	কাংকের
The city of Kang	কাংকের শহর
Cough	কাংশী
Kanshi river	কাংশী নদী
Kai	কাই
Kautha	কাউঠা
Council	কাউন্সিল
Counseling	কাউন্সিলিঙ
Qawwali	কাওয়ালি
Qawwali singer	কাওয়ালি গায়ক
The crow	কাক
Crow sphere	কাক গোলক
Crow Bhusundi	কাক ভুষুন্ডি
Cuckoo	কাকওয়া
Cuckoo	কাককঙ্গু
Cuckoo	কাকচ্ছদি
Crab	কাকড়া
Cuckoo	কাকতাড়ুয়া
Coincidence	কাকতালীয় ব্যাপার
Cockatoo	কাকতুন্ড
Kaktundi	কাকতুন্ডী
Cockatoo	কাকতুয়া
Kaknasa	কাকনাসা
Kakni	কাকনি
Kakni river	কাকনি নদী
Cousin	কাকনী
Crows	কাকভুষুন্ডি
Kakmari	কাকমারী
Cuckoo	কাকলী
Kaksi	কাকসি
Uncle	কাকা
Uncle	কাকাও
Auntie	কাকিণী
Kakinara	কাকিনাড়া
Kakinada town	কাকিনাড়া শহর
Aunt	কাকিমা
Uncle	কাকু
Uncle	কাকুন
Uncle	কাকুর
Cuckoo	কাকেক্ষু
Crab	কাকেড়া
Crow baby	কাকের বাচ্চা
Crow's nest	কাকের বাসা
Paper	কাগজ
Paper crumbs	কাগজ কুচি
Papers	কাগজপত্র
Paper currency	কাগজের মুদ্রা
Paper lantern	কাগজের লন্ঠন
Poverty	কাঙালপনা
Armpit	কাঙ্খ
Kangra	কাঙ্গরা
Kangra district	কাঙ্গরা জেলা
Kangra town	কাঙ্গরা শহর
Kangaroo	কাঙ্গুর
Congo	কাঙ্গো
Congo tea	কাঙ্গো চা
Glass	কাচলবণ
Raw	কাচা
Wash	কাচানো
Remuneration for washing	কাচানোর পারিশ্রমিক
Kachulla	কাচুল্লা
Pieces of glass	কাচের টুকরো
Close	কাছা
Close	কাছি
Turtle	কাছিম
Land nearby	কাছের জমি
Work	কাজ
To work	কাজ করা
Work-action	কাজ-কর্ম
Work	কাজকর্ম
Qazi	কাজরি
Kajal	কাজল
Kajallata	কাজললতা
Kajal's tip	কাজলের টিপ
Kazakh	কাজাক
Kazakhs	কাজাকবাসী
Kazakhstan	কাজাকস্তান
Kazakhstan	কাজাকিস্তান
Kazaladu	কাজালাড্ডু
Kazaladdu Mango	কাজালাড্ডু আম
Kazaladdu mango tree	কাজালাড্ডু আম গাছ
Kaziranga	কাজিরাঙা
Cashews	কাজু
Cashew nuts	কাজুবরফি
Utilize	কাজে লাগানো
Kanchan	কাঞ্চন
Scissors	কাঞ্চী
Kanchi district	কাঞ্চী জেলা
Kanchipuram	কাঞ্চীপুরম
Kanchipuram district	কাঞ্চীপুরম জেলা
Kanchipuram city	কাঞ্চীপুরম শহর
Kanji	কাঞ্জী
Cut	কাট
Cutting	কাটতি
Cut pieces	কাটপিস
Cut flute	কাটবাঁশি
Katra	কাটরা
Cut	কাটা
Cut mark	কাটা চিহ্ন
Cut hands	কাটা হাত
Cut and torn	কাটা-ছেঁড়া
Cutting	কাটাই
Cutting materials	কাটাই উপকরণ
Fighting	কাটাকাটি
Wages to be deducted	কাটানোর মজুরী
Cutter	কাটারি
Katalan	কাটালান
Catalan language	কাটালান ভাষা
Chopped fried	কাটি ভাজা
Katim	কাটিম
Katihar	কাটিহার
Katihar district	কাটিহার জেলা
City of Katihar	কাটিহার শহর
Cut	কাটু
Wood	কাঠ
Charcoal	কাঠ-কয়লা
Wood-bridge	কাঠ-ব্রীজ
Fence	কাঠগড়া
Wood warehouse	কাঠগোদাম
Woodpeckers	কাঠচিনার
Woodpeckers	কাঠঠোকরা
Woodpeckers	কাঠপিঁপড়ে
Squirrel	কাঠবিড়ালী
Squirrel monkey	কাঠবেড়ালি বাঁদর
Woodpeckers	কাঠবেড়ালিমার
Squirrel	কাঠবেড়ালী
Kathmandu	কাঠমান্ডু
Carpenter	কাঠমিস্ত্রি
Woodpecker	কাঠসেমুল
Katha	কাঠা
Structure	কাঠামো
Stick	কাঠি
Hard dance	কাঠিনাচ
Difficulty	কাঠিন্য
Kathiabar	কাঠিয়াবাড়
Wood	কাঠুরা
Wooden	কাঠুরে
Wood fire	কাঠের আগুন
Wooden cage	কাঠের খাঁচা
Wood powder	কাঠের গুঁড়ো
Wooden logs	কাঠের গুড়ি
Pieces of wood	কাঠের টুকরো
Wooden legs	কাঠের পায়া
Wooden dolls	কাঠের পুতুল
Wooden bowl	কাঠের বাটি
Wooden utensils	কাঠের বাসন
Wooden wind instrument	কাঠের বায়ুবাদ্য
Wooden bridge	কাঠের ব্রীজ
Carpenter	কাঠের মিস্ত্রি
Wooden handle	কাঠের হাতল
Wooden hammer	কাঠের হাতুড়ি
The stem	কাণ্ড
Kandab	কাণ্ডব
Kandava sage	কাণ্ডব ঋষি
Kandari	কাণ্ডারী
Yawning	কাতরতা
Katari	কাতরী
Catla	কাতলা
Katakana	কাতাকানা
Qatar	কাতার
State of Qatar	কাতার রাজ্য
Qatari	কাতারবাসী
Qatar	কাতারি
Qatari Dirham	কাতারি দিরেম
Qatari Riyal	কাতারি রিয়াল
Katth	কাত্থ
Katya	কাত্য
Katya Rishi	কাত্য ঋষি
Katyayan	কাত্যায়ন
Katyayan sage	কাত্যায়ন ঋষি
Katyayani	কাত্যায়নী
Kath	কাথ
Kadambari	কাদম্বরী
Mud	কাদা
Clay	কাদামাটি
Kadambari	কাদ্মবরী
Ears	কান
Goat	কানকাটা ছাগল
Kanko	কানকো
Kankhuski	কানখুস্কি
Knitted hat	কানঢাকা টুপি
Scratching	কানতড়কা
Earring	কানপট্টী
Earring	কানপাকা
Kanpur	কানপুর
Kanpur district	কানপুর জেলা
Kanpur Dehan	কানপুর দেহান
Kanpur Dehan District	কানপুর দেহান জেলা
Kanpur city	কানপুর শহর
Kanfata	কানফাটা
Earwax	কানফেড়
Ear-splitting reform	কানবেঁধানো সংস্কার
Ear piercing	কানভাঙ্গানি
Kanhar	কানহর
Kana	কানা
Canadians	কানাডবাসী
Kannada	কানাড়া
Kannada anger	কানাড়া রাগ
Kanari	কানাড়ী
Canada	কানাডা
Canadian	কানাডিয়ান
Canadian dollar	কানাডিয়ান ডলার
Kanat	কানাত
Cannabis	কানাবেজ
Kanamachi	কানামাছি
Kani	কানি
Kanin	কানীন
Connection	কানেক্শন
Ear shell	কানের খোল
Ear piercing	কানের ছিদ্র
Earrings	কানের দুল
Eardrums	কানের পর্দা
Ear piercings	কানের ফুঁটো
Ear dirt	কানের ময়লা
Ear dirt cleaner	কানের ময়লা পরিষ্কারক
Stems	কান্ড
Kandla	কান্ডলা
Kanda	কান্ডা
Kant	কান্ত
Kantar	কান্তার
Kanti	কান্তি
Crying	কান্দ
Kandahar	কান্দাহার
Shoulder straps	কান্ধামাল
Kandhamal district	কান্ধামাল জেলা
Kandhamal town	কান্ধামাল শহর
Shoulder	কান্ধার
Crying	কান্না
Crying	কান্নাকাটি
To cry	কান্নাকাটি করা
Kanyakubja	কান্যকুব্জ
Kanyakubja resident	কান্যকুব্জ নিবাসী
Cup	কাপ
Without hypocrisy	কাপট্যহীন
Clothes	কাপড়
The smell of burning clothes	কাপড় পোড়ার গন্ধ
Cloth fair bamboo	কাপড় মেলার বাঁশ
Wife of a cloth dyer	কাপড় রঙ করার কারিগরের পত্নী
Female craftsman to dye clothes	কাপড় রঙ করার মহিলা কারিগর
Cloth	কাপড়ের থান
Clothing market	কাপড়ের বাজার
Kapsa	কাপসা
Kapalik	কাপালিক
Kapalika	কাপালিকা
Kapish	কাপিশ
Cowardice	কাপুরষতা
Coward	কাপুরুষ
Captain	কাপ্তান
Kafni	কাফনী
Kafal	কাফল
Kafal Paku	কাফল পাকু
Coffee	কাফি
Coffee rage	কাফি রাগ
Infidel	কাফির
Infidelity	কাফুরি
Cafe	কাফে
Unbelievers	কাফের
Caravan	কাফেলা
Kafka	কাফ্কা
Kafri	কাফ্রি
Cub sugar	কাব চিনি
Kaaba	কাবা
Kabaddi	কাবাডি
Kabaddi	কাবাড্ডী
Kebab	কাবাব
Kebabchini	কাবাবচিনি
Kabis	কাবিস
Kabul	কাবুল
Kabul River	কাবুল নদী
Kabuli	কাবুলি
Kabuliwala	কাবুলিওয়ালা
Kabuli language	কাবুলী ভাষা
Kaberi River	কাবেরি নদী
Kaberi	কাবেরী
Poetry	কাব্য
Poet	কাব্যকার
Anthology	কাব্যগ্রন্হ
Kabalankar	কাব্যালঙ্কার
Cover	কাভারত্তী
Kavaratti	কাভারাত্তি
Work	কাম
Lust	কাম বাসনা
Cum-shar	কাম-শর
Kama-shastra	কাম-শাস্ত্র
Kama-sutra	কাম-সুত্র
Bite	কামড়
Bite	কামড়ানো
Kamataru	কামতরু
Kamada	কামদা
Cupid	কামদেব
Kamadeva Bhishmak Mani	কামদেব ভীষ্মক মণি
Cupid	কামদেবী
Kamadhenu	কামধেনু
Kamadhenu river	কামধেনু নদী
Desire	কামনা
Desire-fulfillment	কামনা-সিদ্ধি
Desire	কামনাপূর্ণতা
Kamavati	কামবতী
Kaman	কামবাণ
The room	কামরা
Kamranga	কামরাঙ্গা
Kamarupa	কামরূপ
Kamrup district	কামরূপ জেলা
Lust enhancer	কামশক্তি বর্ধক
Kamshar	কামশর
Kamashastra	কামশাস্ত্র
Kamasakha	কামসখা
Kamasutra	কামসুত্র
Kamasut	কামসূত
Kamakshi Amma Temple	কামাক্ষী আম্মা মন্দির
Kamakshi temple	কামাক্ষী মন্দির
Kamathi	কামাঠী
Kamathi race	কামাঠী জাতি
Cannon	কামান
Cannonball	কামান দাগা
Kamani	কামানি
Kamani Mango	কামানি আম
Kamani mango tree	কামানি আম গাছ
Cannon car	কামানের গাড়ী
Cannonball	কামানের গোলা
Apathy	কামান্ধতা
Kama Yuddha	কামাযুদ্ধ
Blacksmith	কামার
The blacksmith race	কামার জাতি
Blacksmith's wife	কামার বউ
Kamargiri	কামারগিরি
Kamarni	কামারনি
Blacksmith's furnace	কামারের চুল্লি
Blacksmith's wages	কামারের মজুরী
Kamayani	কামায়নী
Aphrodisiac	কামায়ুধ
Shirt	কামিজ
Kamini	কামিনী
Kamini Ekadashi	কামিনী একাদশী
Kaminikanta	কামিনীকান্ত
Camilla	কামীলা
Sensual	কামুক
Kameng	কামেঙ্গ
Kameng River	কামেঙ্গ নদী
Kameshwari	কামেশ্বরী
Erotic talk	কামোত্তেজক কথা
Eroticism	কামোদ
Erotic anger	কামোদ রাগ
The feudal lord	কামোদ-সামন্ত
Erotic welfare	কামোদকল্যাণ
Erotic	কামোদতিলক
Camouflage	কামোদনট
Kamoda	কামোদা
Erotic	কামোদী
Amorousness	কামোদ্দীপনা
Orgasm	কামোদ্বেগ
Campbell	কাম্পিল
Kampuchea	কাম্পুচিয়া
Cambodiana	কাম্বোডিয়ানা
Cambodian mango	কাম্বোডিয়ানা আম
Kamya	কাম্যা
Car Nicobar	কার নিকোবর
Car park	কার পার্ক
Factor	কারক
Factor factor	কারক ঘটক
Caricature	কারকদীপক
Factory	কারখানা
Kargil	কারগিল
Kargil district	কারগিল জেলা
The city of Kargil	কারগিল শহর
Fraud	কারচুপি
Because	কারণ
Reasons	কারণমালা
Cordob	কারণ্ডব
Cord	কারন্ড
Carbon	কারবন
Carbine	কারবাইন
Business	কারবার
Karbala	কারবালা
Carlotta	কারলোটা
Carlotta Mango	কারলোটা আম
Carlotta mango tree	কারলোটা আমের গাছ
Manipulation	কারসাজি
Manipulator	কারসাজিবাজ
Manipulation	কারসাজিবাজী
Prison worker	কারাগারকর্মী
Prison officer	কারাগারাধিকারিক
Imprisonment	কারাদণ্ড
Jailer	কারাধ্যক্ষ
Imprisonment	কারাবকাশ
Imprisonment	কারাবাস
Prisoners	কারাবাসী
Caravan	কারাভাঁ
Craftsman	কারিগর
Technical	কারিগরি
Technical scientist	কারিগরী বিজ্ঞানী
Curry leaves	কারিপাতা
Craftsman	কারীগর
Technician	কারীগরী
Curry	কারীর
Artwork	কারুকার্য
Karuchi	কারুচি
Compassion	কারুণ্য
Current	কারেন্ট
Current account	কারেন্ট অ্যাকাউন্ট
Carrero	কারেরুয়া
Karaikal	কারৈকল
Karaikal district	কারৈকল জেলা
The city of Karaikal	কারৈকল শহর
Cartoons	কার্টুন
Card	কার্ড
Cardboard	কার্ডবোর্ড
Cardigan	কার্ডিগান
Cardiff	কার্ডিফ
Cardio	কার্ডিয়ো
Cardio exercises	কার্ডিয়ো ব্যায়াম
Karnik	কার্ণিক
Kartavirya Arjun	কার্তবীর্য অর্জুন
Kartik-Krishna Ekadashi	কার্তিক-কৃষ্ণ একাদশী
Cartridge	কার্তুজ
Karthik	কার্ত্তিক
The month of Karthik	কার্ত্তিক মাস
Stinginess	কার্পণ্য
Corpus	কার্পাস
Fields of corpus	কার্পাসের ক্ষেত
Carpet	কার্পেট
Curfew	কার্ফু
Carbon	কার্বন
Carbon dioxide	কার্বন ডাই অক্সাইড
Carbon paper	কার্বন পেপার
Carbon dioxide	কার্বনডাইঅক্সাইড
Carbonization	কার্বনিকরণ
Carbamide	কার্বামাইড
Carby	কার্বি
Karbi Anglang	কার্বি আংগলাংগ
Karbi Anglang District	কার্বি আংগলাংগ জেলা
Karbi Angalang	কার্বি আঙ্গলাঙ্গ
Carbohydrates	কার্বোহাইড্রেট
Crazy	কার্মণোন্মাদ
Work	কার্য
Work interval	কার্য অন্তরাল
Start work	কার্য আরম্ভ
Work perception	কার্য উপলব্ধি
Activity	কার্য কলাপ
Work efficiency	কার্য কুশলতা
Termination of work	কার্য নিবৃত্তি
Rules of Procedure	কার্য বিধি
Work style	কার্য শৈলী
Completion of work	কার্য সমাপন
Completion of work	কার্য সমাপ্তি
Working Committee	কার্য সমিতি
Task completion	কার্য সম্পূরণ
Work accomplishment	কার্য সিদ্ধি
Agenda	কার্য সূচী
Working hours	কার্য-কাল
Procedure	কার্য-পদ্ধতি
Procedure	কার্য-প্রণালী
Rules of Procedure	কার্য-বিধি
Implementation	কার্যকরীকরণ
Activity	কার্যকলাপ
Executive	কার্যকারিণী
Executive Committee	কার্যকারী সমিতি
Tenure	কার্যকাল
Activities	কার্যক্রম
Program	কার্যক্রমসূচী
Efficiency	কার্যক্ষমতা
Workspace	কার্যক্ষেত্র
Executive officer	কার্যনির্বাহী কর্তা
Executive officer	কার্যনির্বাহী কর্ত্তা
Procedure	কার্যপদ্ধতি
Fulfillment	কার্যপূর্তি
Procedure	কার্যপ্রণালী
Assignment	কার্যভার
Agenda	কার্যসূচী
Workplace	কার্যস্হল
Crank	কার্যাঙ্ক
Carantral	কার্যান্তরাল
Work time	কার্যাবকাশ
Commencement	কার্যারম্ভ
Office	কার্যালয়
Achievement	কার্যোপলব্ধি
Function	কার্য্য
Karshya	কার্শ্য
Karshni	কার্ষ্ণি
Cursor	কার্সার
Tomorrow	কাল
Tomorrow's cell	কাল কুঠুরি
God of tomorrow	কাল দেবতা
Tomorrow Bhairab	কাল ভৈরব
Tomorrow's size	কাল মাপ
Black rooster	কাল মুর্ঘ
Black snake	কাল সর্প
Time limit	কাল সীমা
Tomorrow night	কাল-রাত্রী
Kalkantha	কালকন্ঠ
Kalka	কালকা
City of Kalka	কালকা শহর
Calcutta	কালকূট
Kalketu	কালকেতু
The dungeon	কালকোঠরি
Chronology	কালক্রম
Kalachakra	কালচক্র
Dark blue	কালচে নীল
Dark red	কালচে লাল
Dark red horse	কালচে লাল ঘোড়া
Dark red sheep	কালচে লাল রঙের ভেড়া
Kaldamani	কালদমনী
Kalnag	কালনাগ
Kalnath	কালনাথ
Kalnisha	কালনিশা
Kalnemi	কালনেমী
Kalparni	কালপর্ণী
Diarrhea	কালপ্রমেহ
Diarrhea	কালপ্রমেহ রোগ
Delay	কালবিলম্ব
Caleblia	কালবেলিয়া
Calbos	কালবোস
Kalmallika	কালমল্লিকা
Chronometer	কালমাপক ঘড়ি
Kalmapi clock	কালমাপী ঘড়ি
Kalmurgha	কালমুর্ঘ
Black cloud	কালমেঘ
Kalyavan	কালযবন
Tomorrow night	কালরাত্রি
Last night	কালরাত্রী
Kalshak	কালশাক
Kalsarpa	কালসর্প
Kalsap	কালসাপ
Kalsiri	কালসিরী
Kalsen	কালসেন
Black	কালা
Black water	কালা পানি
Kalakand	কালাকাঁদ
Kalaganda	কালাগাঁড়া
Kalagnirudra	কালাগ্নিরুদ্র
Kalagnirudra Upanishad	কালাগ্নিরুদ্র উপনিষদ
Kalagnirudropanishad	কালাগ্নিরুদ্রোপনিষদ
Black thief	কালাচোর
Kaladana	কালাদানা
Chronology	কালানুক্রম
Chronological	কালানুক্রমিক
Kalantar	কালান্তর
Kalapani	কালাপানি
Kalastra	কালাস্ত্র
Kalahandi	কালাহাণ্ডী
Kalahandi district	কালাহাণ্ডী জেলা
Ink	কালি
Kalika	কালিকা
Goddess Kalika	কালিকা দেবী
Kalikamukh	কালিকামুখ
Kalingar	কালিঞ্জর
Kalini	কালিনী
Kalindi	কালিন্দী
Blackness	কালিমা
Blackening	কালিমালেপন
Kalia	কালিয়া
Kalia Nag	কালিয়া নাগ
Ink	কালী
Kali river	কালী নদী
Kali Sindhu	কালী সিন্ধু
Kali is the river Indus	কালী সিন্ধু নদী
Kalidah	কালীদহ
Kalidas	কালীদাস
Kalin	কালীন
Kalifulia	কালীফুলিয়া
Translations into Bishnupriya:	কালীয়ক
Collectorate	কালেক্টরেট
Black	কালো
Black arahar dal	কালো অড়হর ডাল
Black eagle bird	কালো কাঁক পাখি
White horse with black ears	কালো কান বিশিষ্ট সাদা ঘোড়া
Black eagle	কালো গরুড়
Black horse	কালো ঘোড়া
Black sandalwood	কালো চন্দন
Black shade	কালো ছায়া
Black holes	কালো ছিদ্র
Black stain	কালো ছোপ
