 Stranger	 अजनबी
Syphilis	उपदंश
Gratuity	उपदान
Subdivision	उपदिशा
Subsection	उपदेवा
preaching	उपदेश
Preacher	उपदेशक
Instructor	उपदेशता
Preceptor	उपदेष्टा
Fuss	उपद्रव
Murderer	उपद्रव कर्ता
Miscreant	उपद्रवकारी
Rowdy	उपद्रवी
Purpose	उपधा
Provision	उपधान
sub stream	उपधारा
Upadhyaya	उपधिया
Upandana	उपनंद
Suburb	उपनगर
Tributary	उपनदी
Upananda	उपनन्द
Upanayan	उपनयन
Thread ceremony	उपनयन संस्कार
Surname	उपनाम
Earnest	उपनायक
Subroutine	उपनायिका
deputy director	उपनिदेशक
Bailment	उपनिधि
sub Inspector	उपनिरीक्षक
Sub inspector	उपनिरीक्षणकर्ता
Sub-election	उपनिर्वाचन
The colonies	उपनिवेश
Upanishads	उपनिषद
Upanishads	उपनिषद्
Leader	उपनेता
Subnet	उपनेत्र
The novel	उपन्यास
Novel writer	उपन्यास लेखक
Novelist	उपन्यास-लेखक
Novelist	उपन्यासकार
Vice	उपपति
Derivatives	उपपत्ति
Concubine	उपपत्नी
Subcutaneous	उपपाचन
Complement	उपपुराण
Subspecies	उपप्रजाति
Deputy Prime	उपप्रधान
Deputy Prime Minister	उपप्रधानमंत्री
Deputy Prime Minister	उपप्रधानमन्त्री
Subflow	उपप्रवाह
Sub question	उपप्रश्न
Acknowledgment	उपबोधन
Subdivision	उपभाग
Consumption	उपभुक्ति
Consumer	उपभूमि
Consumer	उपभोक्ता
Consumer goods	उपभोक्ता वस्तु
consumerism	उपभोक्तावाद
Consumption	उपभोग
Subdivision	उपमंडल
Sub divisional officer	उपमंडलाधिकारी
vice Minister	उपमंत्री
Upamanyu	उपमन्यु
Upamanyu Rishi	उपमन्यु ऋषि
Subcontinent	उपमहाद्वीप
Simile	उपमा
Simile decking	उपमा अलंकार
Likeness	उपमान
Byway	उपमार्ग
Subfamily	उपमालंकार
Deputy Chief Minister	उपमुख्यमंत्री
Theorem	उपमेय
Upyopama	उपमेयोपमा
Use	उपयाज
Ushered sage	उपयाज ऋषि
Appropriate time	उपयुक्त समय
Suitability	उपयुक्ततता
Suitability	उपयुक्तता
User	उपयोक्ता
Use	उपयोग
the user	उपयोगकर्ता
User	उपयोगकर्त्ता
Uselessness	उपयोगहीनता
Utility	उपयोगिता
Utility suit	उपयोगिता वाद
Utility suit	उपयोगिता-वाद
Utilitarianism	उपयोगितावाद
Use	उपयोजन
Uppratan	उपरत्न
To up	उपरना
Overlay	उपरनी
Capital	उपराजधानी
Lieutenant governor	उपराज्यपाल
Vice President	उपराष्ट्रपति
Avail	उपल
Equipment	उपलक
Up gem	उपलक मणि
Awaiting	उपलक्ष
Available	उपलक्षित
Commemoration	उपलक्ष्य
Availability	उपलब्धता
Availability	उपलब्धि
Uppla	उपला
Ulli	उपली
Upalla	उपल्ला
Upalli	उपल्ली
Grove	उपवन
Subclass	उपवर्ग
The fast	उपवास
The fast	उपवासकर्ता
Resident	उपवासी
Bye law	उपविधि
sub department	उपविभाग
Substitute	उपवीत
Upveda	उपवेद
Occupation	उपवेशन
Subway	उपव्याघ्र
Abatement	उपशमन
Subhead	उपशाखा
sub headline	उपशीर्षक
Epilogue	उपसंहार
Deputy Secretary	उपसचिव
Deputy Chairman	उपसभापति
Subcommittee	उपसमिति
Sub-station	उपसरपंच
Prefix	उपसर्ग
Subsea	उपसागर
Accessory	उपसाधक
Subsoil	उपसुंद
Deputy	उपसुन्द
Equipment	उपस्कर
Presented	उपस्तुत
Present sage	उपस्तुत ऋषि
Attendant	उपस्थ
The presence	उपस्थिति
Attendance roll	उपस्थिति नामावली
Attendance register	उपस्थिति-पंजिका
Gifts	उपहार
Gift house	उपहार-गृह
Derision	उपहास
Derisive	उपहास कर्ता
Ridicule	उपहास-चित्र
Snicker	उपहासक
Derisive	उपहासकर्ता
Prodigy	उपहासी
Appendage	उपांग
Margin	उपांत
Marginal area	उपांत क्षेत्र
Margin game	उपांत खेल
Uttar Pradesh	उपांत प्रदेश
Approach	उपागम
Cartridge	उपाङ्ग
Factor	उपादान
Utility	उपादेयता
Degree	उपाधि
Degree holder	उपाधिधारक
Degree holder	उपाधिधारी
The vice president	उपाध्यक्ष
Upadhyay	उपाध्याय
Upahnah	उपानह
Margin	उपान्त
Suburbs	उपान्त क्षेत्र
Side play	उपान्त खेल
Province	उपान्त प्रदेश
Metabolism	उपापचय
Metering	उपापचयन
Remedy	उपाय
Remedylessness	उपायहीनता
Deputy Commissioner	उपायुक्त
Earnings	उपार्जन
Benefit	उपालंभ
Commencement	उपालम्भ
Worship	उपास
Worshiper	उपासक
Worship	उपासना
Place of worship	उपासना स्थल
Synagogue	उपासनालय
Worshiper	उपासिका
Cartilage	उपास्थि
Refreshment	उपाहार
the cafeteria	उपाहार गृह
Upendravajra	उपेंद्रवज्रा
Ignore	उपेक्षा
Ignored	उपेक्षित
Upendravajra	उपेन्द्रवज्रा
By-product	उपोत्पाद
Uproar	उपोद्घात
Subtropical	उपोष्ण कटिबंध
Subcutaneous ligament	उपोष्ण कटिबन्ध
Subtropical	उपोष्णकटिबंध
Subtropical	उपोष्णकटिबन्ध
Boom	उफान
Boiled	उबका
Emetic	उबकाई
Zucchini	उबकी
body scrub	उबटन
Ebrai	उबराई
To boil	उबलना
Boiled rice	उबला चावल
Stew	उबसन
Ubi	उबाई
Salvage	उबार
Boil	उबाल
To boil	उबालना
Yawning	उबासी
Amphibian	उभयचर
Amphibian animals	उभयचर जंतु
Amphibian	उभयचर जीव
Amphibian	उभयचर प्राणी
Amphibian lineage	उभयचर वंश
Amphibious aircraft	उभयचर वायुयान
Amphibious vehicle	उभयचर वाहन
Amphibious aircraft	उभयचर विमान
Amphibious	उभयसंकट
Bulge	उभाड़
Bulge	उभार
Exaltation	उमंग
Ecstasy	उमंगहीनता
Overflow	उमड़
Swagger	उमड़ घुमड़
Swagger	उमड़-घुमड़
age	उमर
Omar Imprisonment	उमर क़ैद
Omar Imprisoned	उमर कैद
Umarkaid	उमरकैद
Umaria	उमरिया
Umaria district	उमरिया ज़िला
Umaria District	उमरिया जिला
Umaria City	उमरिया शहर
Umlocha	उमलोचा
Humid	उमस
Uma	उमा
Umakant	उमाकांत
Uma Kant	उमाकान्त
Umah	उमाह
Umesh	उमेश
expectation	उम्मीद
Silver Lining	उम्मीद की किरण
Candidate	उम्मीदवार
Candidate	उम्मेदवार
Ages	उम्र
life prison	उम्र कैद
life prison	उम्रकैद
Ur	उर
Color	उरंग
Uralta	उरगलता
Urad	उरद
Urad Dal	उरद की दाल
Urad dal	उरद दाल
Uran	उराँ
Uran language	उराँ भाषा
Uraon	उराँव
Uraon language	उराँव भाषा
Uran	उरां
Uran language	उरां भाषा
Oraon	उरांव
Oraon language	उरांव भाषा
Urissa	उरिसा
Orissa	उरीसा
Uruguay	उरुग्वे
Uruguay River	उरुग्वे नदी
Uruguayan	उरुग्वे वासी
Uruguayan	उरुग्वे-वासी
Uruguayan	उरुग्वेयन
Uruguayan Peso	उरुग्वेयन पेसो
Uruguayan	उरुग्वेवासी
Uruchkri	उरुचक्रि
Uruchakri Rishi	उरुचक्रि ऋषि
Uruksay	उरूक्षय
Urukshaya Rishi	उरूक्षय ऋषि
Uruguay	उरूग्वे
Uruguay River	उरूग्वे नदी
Uruguayan	उरूग्वे वासी
Uruguayan	उरूग्वे-वासी
Uruguayan	उरूग्वेयन
Uruguayan	उरूग्वेवासी
Uros	उरोज
Urvakantika	उर्घ्वकंटिका
Urginia Indica	उर्जिनिया इंडिका
Urd	उर्द
Urad dal	उर्द की दाल
Urd Dal	उर्द दाल
Urdu	उर्दू
Urdu language	उर्दू भाषा
Aka	उर्फ
Aka	उर्फ़
Urmika	उर्मिका
Urmila	उर्मिला
Fertilizer	उर्वरक
Fertility	उर्वरता
Fertile	उर्वरा
Fertile land	उर्वरा भूमि
Urvashi	उर्वशी
Urvi	उर्वि
Energy	उर्विजा
Energy	उर्वीजा
Urs	उर्स
Violation	उलंघन
confusion	उलझन
Entanglement	उलझाव
Reversal	उलट-पलट
Inversion	उलट-पुलट
Reversal	उलट-फेर
Reversal	उलटकंबल
Reversal	उलटपलट
Inversion	उलटपुलट
Vicissitudes	उलटफेर
The reverse	उलटी
Obverse	उलपतृण
Ulfat	उलफत
Mischief	उलफ़त
Ulaan gat	उलान बटोर
Ulaan Baatar	उलान बाटर
Cry out	उलाहना
Oolook	उलूक
Oolook gem	उलूक मणि
Adulation	उलूखल
Ulupi	उलूपी
Meteor	उल्का
Meteorite	उल्का-मुख
Meteorite	उल्काखंड
Meteorite	उल्काखण्ड
Meteor	उल्कापात
Meteorite	उल्कापिंड
Opposite	उल्कामुख
Pyramid	उल्कामुख-प्रेत
Meteorite	उल्काश्म
opposite meaning	उल्टा अर्थ
Vomiting	उल्टी
Vomitor	उल्टी करने वाला
Vomiting back	उल्टी बखिया
Translation	उल्था
Elliptical	उल्थाकार
Opposite	उल्फत
Opposite	उल्फ़त
ULFA	उल्फा
Violation	उल्लंघन
Ullal	उल्लाल
Ullala	उल्लाला
Glee	उल्लास
Euphoria	उल्लासहीनता
Owl	उल्लू
Son of a bitch	उल्लू का पट्ठा
mention	उल्लेख
Ulv	उल्व
Ushna	उशना
Temper	उशनाकाव्य
Ushanakavya Rishi	उशनाकाव्य ऋषि
Ushner	उशीनर
Ushir	उशीर
Usha	उषा
Usha-kaal	उषा-काल
Dawn	उषाकाल
Camel	उष्ट्र
Camel	उष्ट्रिका
Ushtri	उष्ट्री
Tropical tropics	उष्ण कटिबंध
Hot belt	उष्ण कटिबन्ध
Tropical	उष्णकटिबंध
Tropical	उष्णकटिबन्ध
Scorching	उष्णता
Thermal	उष्णिक
Thermal verse	उष्णिक छंद
Heat	उष्णीष
Warm	उष्म
Hot period	उष्म काल
Heat	उष्मज
Warm organism	उष्मज जीव
Heat	उष्मा
Calorific	उष्मांक
Heat stroke	उष्माघात
To use	उसना
Usna Rice	उसना चावल
Usman	उसमान
Usman bin aftan	उसमान बिन अफ़्फ़ान
Usman bin afghan	उसमान बिन अफ्फान
Usal	उसल
Usanas	उसाँस
Heave	उसांस
Usas	उसास
Principle	उसूल
Razor	उस्तरा
Master	उस्ताद
Master	उस्तादी
Ustani	उस्तानी
Razor	उस्तुरा
Usbeck	उस्बेक
Usbeg	उस्बेग
Usbak	उस्बैक
Usbag	उस्बैग
Osman	उस्मान
Usman bin aftan	उस्मान बिन अफ़्फ़ान
Usman bin afghan	उस्मान बिन अफ्फान
Osmanabad	उस्मानाबाद
Osmanabad district	उस्मानाबाद ज़िला
Osmanabad District	उस्मानाबाद जिला
Osmanabad City	उस्मानाबाद शहर
Oswaas	उस्वाँस
The savior	उहार
Oo	ऊ
Get up	ऊँगना
Finger	ऊँगली
Will rise	ऊँगा
High	ऊँघ
High	ऊँघन
Get up	ऊँघना
Height	ऊँघाई
High edge	ऊँचा किनारा
High total	ऊँचा कुल
High house	ऊँचा सदन
The height	ऊँचाई
Height	ऊँचापन
Camel	ऊँट
Camel cart	ऊँट गाड़ी
Camel cart	ऊँट-गाड़ी
Camel cart	ऊँट-गाड़ी
Camel	ऊँटकटारा
Camellia	ऊँटकटीरा
Camellia	ऊँटकटेला
Camel cart	ऊँटगाड़ी
Camel cart	ऊँटगाड़ी
Camel	ऊँटनी
Camel	ऊँटवान
Camel	ऊँटहार
Camel	ऊँटहारा
Tall	ऊँड़ा
Breach	ऊंघन
Go off	ऊंघना
Ohai	ऊंघाई
High edge	ऊंचा किनारा
The height	ऊंचाई
Height	ऊंचापन
Camel	ऊंटकटारा
Oek	ऊख
Core original	ऊख मूल
Hitchhiker	ऊखचुसाई
Drench	ऊखन
Ukhan River	ऊखन नदी
Boil	ऊखल
Ugia	ऊगिया
Fantastical talk	ऊटपटांग बात
Ooty	ऊटी
Tissue	ऊतक
Otter	ऊद
Otter	ऊद-बिलाव
Beaver	ऊदबत्ती
Beaver	ऊदबिलाव
Beetle	ऊदल
Hustle	ऊधम
Hustle	ऊधमी
Huddle	ऊधव
The heat	ऊधो
Wool	ऊन
Una	ऊना
Woolen cloth	ऊनी वस्त्र
Woolen cloth	ऊनी-वस्त्र
Go up	ऊपर जाना
Uppermost	ऊपरवाला
Upper Dibang Valley	ऊपरी दिबांग घाटी
Upper Dibang Valley District	ऊपरी दिबांग घाटी ज़िला
Upper Dibang Valley District	ऊपरी दिबांग घाटी जिला
Upper berth	ऊपरी बर्थ
upper part	ऊपरी भाग
Upper volta	ऊपरी वोल्टा
Upper Siang	ऊपरी सिआंग
Upper Siang District	ऊपरी सिआंग ज़िला
Upper Siang District	ऊपरी सिआंग जिला
Upper Siang	ऊपरी सियांग
Upper Siang District	ऊपरी सियांग ज़िला
Upper Siang District	ऊपरी सियांग जिला
Upper seat	ऊपरी सीट
Upper Subansiri	ऊपरी सुबनसिरी
Upper Subansiri District	ऊपरी सुबनसिरी ज़िला
Upper Subansiri District	ऊपरी सुबनसिरी जिला
Bored	ऊब
Bumpy ground	ऊबड़ खाबड़ जमीन
Omar	ऊमर
Oar	ऊर
Femoral	ऊरु
Energy	ऊर्जा
Energy Minister	ऊर्जा मंत्री
Energy minister	ऊर्जा मन्त्री
Energizer	ऊर्जामंत्री
Energetic	ऊर्जामन्त्री
Energetics	ऊर्णनाभ
Ejaculatory	ऊर्णनाभि
Energetic	ऊर्णा
Ejaculation	ऊर्द्ध्वचरण
Regurgitation	ऊर्ध्व-पातन
Vertical	ऊर्ध्वग्रीव
Hermit sage	ऊर्ध्वग्रीव ऋषि
Elevation	ऊर्ध्वपातन
Vertical	ऊर्ध्वरेता
Urmi	ऊर्मि
Urmila	ऊर्मिला
Chaos	ऊलजलूल बात
Usha	ऊषा
Ushanath	ऊषानाथ
Calorific	ऊषारमण
Heat	ऊष्म
Thermodynamics	ऊष्मागतिकी
Thermal power plant	ऊष्मीय बिजलीघर
Thermal power plant	ऊष्मीय विद्युत संयंत्र
Ussar	ऊसर
Rough ground	ऊसर जमीन
Waste land	ऊसर भूमि
Sterility	ऊसरपन
Oops	ऊहापोह
R	ऋ
Rukchika	ऋकचिका
Blood	ऋक्
Raksha	ऋक्ष
Rig	ऋग्
Rig Veda	ऋग् वेद
Rigveda	ऋग्वेद
Richa	ऋचा
Hitch	ऋचीक
Hiccup sage	ऋचीक ऋषि
Rujiswa	ऋजिस्वा
Sage sage	ऋजिस्वा ऋषि
Straight angle	ऋजु कोण
Rijkon	ऋजुकोण
Rajuta	ऋजुता
Crown	ऋज्राश्व
Sage	ऋज्राश्व ऋषि
The loan	ऋण
Loan pardon	ऋण माफ़ी
Debt forgiveness	ऋण माफी
Debt relief	ऋण मुआफी
Debt relief	ऋण मुक्ति
Debt collection	ऋण वसूली
Lender	ऋण-दाता
Loan provider	ऋण-प्रदाता
Debt relief	ऋण-मुक्ति
Debt relief	ऋण-मुक्ति पत्र
Debt collection	ऋण-वसूली
The borrower	ऋणकर्ता
Debt	ऋणत्रय
The lender	ऋणदाता
Lender	ऋणप्रदाता
Letter of discharge	ऋणमुक्ति-पत्र
Discharge deed	ऋणमुक्तिपत्र
Indebtedness	ऋणरहितता
Debt recovery	ऋणवसूली
negative number	ऋणात्मक संख्या
indebted to	ऋणी
Credit	ऋत
Season	ऋतु
Seasonal sleep	ऋतु निद्रा
Seasonal sleep	ऋतु-निद्रा
Ritudhwaj	ऋतुध्वज
Ritunidra	ऋतुनिद्रा
Ascension	ऋतुपर्ण
Rituparna Rishi	ऋतुपर्ण ऋषि
Season	ऋतुमति
Seasonal woman	ऋतुमति स्त्री
Seasonal	ऋतुमती
Rituraj	ऋतुराज
Menstruation	ऋतुस्राव
Ritvik	ऋत्विक
Ritvik Brahmin	ऋत्विक ब्राह्मण
Ritvik	ऋत्विक्
Ritvij	ऋत्विज
Ritwij Brahmin	ऋत्विज ब्राह्मण
Riddhi	ऋद्धि
Accomplishment	ऋद्धि-सिद्धि
Siddhisiddhi	ऋद्धिसिद्धि
Lord	ऋभु
Sage	ऋभुक्ष
Rishabh	ऋषभ
Rishabh Rishi	ऋषभ ऋषि
Rishabh Dev	ऋषभ देव
Rishabh Swara	ऋषभ स्वर
Rishabhdev	ऋषभदेव
The sage	ऋषि
Sage debt	ऋषि ऋण
Rishi Panchami	ऋषि पंचमी
Sage marriage	ऋषि विवाह
Sage debt	ऋषि-ऋण
Sage-panchami	ऋषि-पंचमी
Sagebrush	ऋषिऋण
Rishikulya	ऋषिकुल्या
Rishikulya River	ऋषिकुल्या नदी
Sage	ऋष्य
Rishiketu	ऋष्यकेतु
Sage-maker	ऋष्यप्रोक्ता
Sagemook	ऋष्यमूक
Rishyamuk Giri	ऋष्यमूक गिरि
Rishimuk Mountains	ऋष्यमूक पर्वत
Sagebrush	ऋष्यशृंग
Sagebrush sage	ऋष्यशृंग ऋषि
a	ए
A group	ए ग्रुप
A. G.	ए जी
ATM	ए टी एम
Eddy	ए डी
Adgp	ए डी जी पी
A blood group	ए ब्लड ग्रुप
A. blood group	ए रक्त वर्ग
A. blood group	ए रक्त-वर्ग
A blood group	ए रक्तवर्ग
A class	ए वर्ग
Inch screw	एँच पेंच
Inch screw	एँच पेच
Cross-screw	एँच-पेंच
Cross-screw	एँच-पेच
Enchantment	एँचपेंच
Enchapech	एँचपेच
Anchor	एंकर
Angstram	एंगस्ट्राम
Angstram unit	एंगस्ट्राम इकाई
Enzyme	एंज़ाइम
Enzyme	एंजाइम
Angioplasty	एंजियोप्लास्टी
Entmanie	एंटमनी
Entertainment	एंटरटेनमेंट
Antananarivo	एंटानानारिवो
Antarctic	एंटार्कटिक
Antarctic Territory	एंटार्कटिक क्षेत्र
Antarctic zone	एंटार्कटिक जोन
Antarctic Territory	एंटार्कटिक प्रदेश
Antina	एंटिना
Antimony	एंटिमोनी
Anti Narcotics Department	एंटी नारकोटिक्स विभाग
Antigua	एंटीगुआ
Antigua and Barbuda	एंटीगुआ एंड बरबुडा
Antigua and Barbuda Countries	एंटीगुआ एंड बरबुडा देश
Antigua and Barbuda	एंटीगुआ एंड बरबुदा
Antigua and Barbuda Country	एंटीगुआ एंड बरबुदा देश
Antigua and Barbuda	एंटीगुआ एंड बरबूडा
Antigua and Barbuda Country	एंटीगुआ एंड बरबूडा देश
Antigua and Barbuda	एंटीगुआ एंड बरबूदा
Antigua and Barbuda Country	एंटीगुआ एंड बरबूदा देश
Antigua and Barbuda	एंटीगुआ और बरबुडा
Antigua and Barbuda	एंटीगुआ और बरबुदा
Antigua and Barbuda	एंटीगुआ और बरबूडा
Antigua and Barbuda	एंटीगुआ और बरबूदा
Antigua and Barbuda Country	एंटीगुआ और बरबूदा देश
Antigua	एंटीगुआ-वासी
Antigui	एंटीगुआई
Antigua	एंटीगुआवासी
Antigen	एंटीजन
Antigen	एंटीजिन
Antigen	एंटीजेन
The antenna	एंटीना
Antibiotic	एंटीबायोटिक
Antibiotic drug	एंटीबायोटिक ड्रग
Antibodies	एंटीबॉडी
Antiarachnatic vitamins	एंटीरैकीटिक विटामिन
Antiarasitic vitamins	एंटीरैकीटिक विटैमिन
Antiviral	एंटीवाइरल
Antivirus	एंटीवाइरस
Antiviral	एंटीवायरल
Antivirus	एंटीवायरस
Antisterilety vitamins	एंटीस्टेरीलिटी विटामिन
Antihemorrhagic factor	एंटीहीमोरेह्जिक फैक्टर
Entropy	एंट्रपी
Entropy	एंट्रॉपी
And	एंड
Andes	एंडीज
Andes Mountain Range	एंडीज पर्वत श्रृंखला
Andes	एंडीज़
Andes Mountain Range	एंडीज़ पर्वत श्रृंखला
Andorran	एंडोरन
Andorra	एंडोरा
Andorra	एंडोरा-वासी
Andorra	एंडोरावासी
Endori	एंडोरी
Andrew Dickson White	एंड्रू डिकसन वाइट
Andrew Dickson White	एंड्रू डिकसन व्हाइट
Andrew Dickson White	एंड्रू डिकसन ह्वाइट
Andrew Dixon White	एंड्रू डिक्सन वाइट
Andrew Dixon White	एंड्रू डिक्सन व्हाइट
Andrew Dixon White	एंड्रू डिक्सन ह्वाइट
Andrew de White	एंड्रू डी वाइट
Andrew D White	एंड्रू डी व्हाइट
Andrew de White	एंड्रू डी ह्वाइट
Andrew Dickson White	एंड्र्यू डिकसन वाइट
Andrew Dickson White	एंड्र्यू डिकसन व्हाइट
Andrew Dickson White	एंड्र्यू डिकसन ह्वाइट
Andrew Dixon White	एंड्र्यू डिक्सन वाइट
Andrew Dixon White	एंड्र्यू डिक्सन व्हाइट
Andrew Dixon White	एंड्र्यू डिक्सन ह्वाइट
Andrew de White	एंड्र्यू डी वाइट
Andrew D White	एंड्र्यू डी व्हाइट
Andrew de White	एंड्र्यू डी ह्वाइट
Emperor	एंपरर
Amper grape	एंपरर अंगूर
Emperor Butterfly	एंपरर तितली
Amper kite	एंपरर पतंगा
Emperor Fatanga	एंपरर फतिंगा
Ampere	एंपियर
Empiricism	एंपिरिसिज्म
Ampere	एंपीयर
Emporium	एंपोरियम
Amphitheater	एंफीथियेटर
Ambulances	एंबुलेंस
Ambassador	एंबेस्डर
Aiff	एआईएफएफ
AN	एएन
As	एएस
One	एक
one one	एक एक
One hundred and fifty	एक सौ पचास
A-iodine	एक-आयोडीन
one one	एक-एक
One game	एक-एक का खेल
A gazelle	एक-गाछी
One-wife-fast	एक-पत्नी-व्रत
Ek Bharatiya Vrat	एक-भार्या-व्रत
One by one	एकक
A coil	एककुंडल
Unicellular animal	एककोशिक जंतु
Unicellular animal	एककोशिक जन्तु
Unicorn animals	एककोशी जंतु
Unicorn animal	एककोशी जन्तु
Unicellular animal	एककोशीय जंतु
Unicellular animal	एककोशीय जन्तु
a circle	एकचक्र
Unicorn	एकचक्री
Single lady	एकचारिणी
Forty one	एकचालीस
Ecchoba	एकचोबा
Unbroken	एकछत्र
Solidarity	एकजुटता
Ekatki	एकटकी
Acre	एकड़
Academic	एकडेमिक
Monarchy	एकतंत्र
Monologue	एकतंत्री
Single	एकतरा
Single fever	एकतरा ज्वर
Unity	एकता
Single	एकतारा
Ekatal	एकताल
Ektala	एकताला
Forty one	एकतालिस
Thirty one	एकतीस
Twenty third	एकतीसवाँ
Twenty third	एकतीसवीं
Aggregation	एकत्रीकरण
Unity	एकत्व
Ekdant	एकदंत
One day	एकदन्त
Consolidation	एकनयन
Exclusiveness	एकनिष्ठता
Solemnity	एकनिष्ठा
Ekni	एकन्नी
Monogamous	एकपत्नीव्रत
One wheeler	एकपहिया
A three-wheeler	एकपहिया गाड़ी
A classmate	एकपाठी
Ekpingal	एकपिंगल
Monocot plant	एकबीजपत्री वनस्पति
One woman	एकभार्याव्रत
Ekam	एकम
Unity	एकमतता
Unicorn rudraksh	एकमुखी रुद्राक्ष
Acre	एकर
Solitude	एकरात्र
Ekatra Yajna	एकरात्र यज्ञ
Agreement	एकरारनामा
Uniformity	एकरूपता
Solo	एकल
single acting	एकल अभिनय
single play	एकल नाटक
Solo play	एकल नाट्य
Single	एकलक
Single	एकलड़ा
Ekalavya	एकलव्य
Ekla	एकला
Only son	एकलौता बेटा
Single daughter	एकलौती बेटी
Singular	एकवचन
One year plant	एकवर्षी पादप
One Year Vegetation	एकवर्षी वनस्पति
One year plant	एकवर्षीय पादप
One Year Vegetation	एकवर्षीय वनस्पति
Singularity	एकवाक्यता
Monogamous	एकवृंद
Akashf	एकशफ
Single animal	एकशफ पशु
Sixty one	एकसठ
Unicameral	एकसठी
Patent	एकस्व
Patent right	एकस्व अधिकार
Patent certificate	एकस्व अधिकार-पत्र
Patent card	एकस्व अधिकारपत्र
Unaccepted	एकस्वकृत
Seventy one	एकहत्तर
Ekanki	एकांकी
Ekandi Yamaj	एकांडी यमज
Secluded	एकांत
Secluded	एकांत वासी
Secluded servant	एकांत सेवी
Secluded place	एकांत स्थल
Secluded place	एकांत स्थान
Seclusionist	एकांत-वासी
Seclusion	एकांत-सेवी
Seclusion	एकांतता
solitude	एकांतवास
Hermit	एकांतवासी
Privacy	एकांतसेवी
Account	एकाउंट
Account book	एकाउंट बुक
Account holder	एकाउंट होल्डर
Account	एकाउन्ट
Account holder	एकाउन्ट होल्डर
Accountant	एकाउन्टेंट
Drab	एकाकार
Monosyllabic	एकाक्ष
Ekala-rudraksh	एकाक्ष-रूद्राक्ष
Monosyllable	एकाक्षर
Monosyllabic upanishad	एकाक्षर उपनिषद
Monolithic upanishad	एकाक्षर उपनिषद्
Monolithic council	एकाक्षरोपनिषद
Monolithic council	एकाक्षरोपनिषद्
Concentration	एकाग्रचित्तता
Concentration	एकाग्रता
Concentricity	एकाग्रपूर्णता
Single yamaaz	एकाण्डी यमज
Monism	एकात्मवाद
Integralist	एकात्मवादी
XI	एकादश
Ekadashi	एकादशी
Monopoly	एकाधिकार
Monopoly	एकाधिपत्य
Ninety one	एकानवे
Solitary	एकान्त वासी
Solitary servant	एकान्त सेवी
Solitary	एकान्त-वासी
Solitary servant	एकान्त-सेवी
Solitude	एकान्तता
Seclusion	एकान्तवास
Hermit	एकान्तवासी
Seclusion	एकान्तसेवी
Ekavan	एकावन
Solitary	एकावली
Monotone decking	एकावली अलंकार
Monotony	एकाश्रयता
Single	एकासी
Ekah Yajna	एकाह यज्ञ
Refreshment	एकाहार
Integration	एकीकरण
Akis	एकीस
Monotheism	एकेश्वरवाद
Monotheist	एकेश्वरवादी
Acography	एकोग्राफी
Ecosystem	एकोसिस्टम
Ekka	एक्का
Ekkunbay	एक्कानबे
Ekkanwe	एक्कानवे
Ekkavan	एक्कावन
Ekkwan	एक्कावान
Ekkasi	एक्कासी
Ekki	एक्की
Twenty one	एक्कीस
Acquani	एक्केवानी
Axerophthalol	एक्ज़ेरोफ्थॉल
Executive	एक्जिक्युटिव
Act	एक्ट
Active euthanasia	एक्टिव युथनेसिया
Expression	एक्प्रेशन
Ninety one	एक्यानबे
Ninety one	एक्यानवे
Fifty one	एक्यावन
Eighty one	एक्यासी
Accra	एक्रा
Ecuador	एक्वाडोर
Ecuador Republic	एक्वाडोर गणतंत्र
Ecuador Republic	एक्वाडोर गणतन्त्र
Republic of Ecuador	एक्वाडोर गणराज्य
Ecuadorian	एक्वाडोरियन
Aquadori	एक्वाडोरी
X ray	एक्स रे
X-ray	एक्स-रे
X-ray machine	एक्स-रे मशीन
Extreme	एक्सट्रीमा
Extreme mango	एक्सट्रीमा आम
Expert	एक्सपर्ट
experiment	एक्सपेरिमेंट
Express	एक्सप्रेस
Express highway	एक्सप्रेस हाइवे
excercise	एक्सरसाइज
Exercise	एक्सरसाइज़
Xra	एक्सरा
Exercise	एक्सर्साइज
Exercise	एक्सर्साइज़
excise duty	एक्साइज ड्यूटी
accident	एक्सीडेंट
Accident	एक्सीडेन्ट
Extra	एक्स्ट्रा
Egmark	एगमार्क
Exam	एग्ज़ाम
Exams	एग्जाम
Agriculture	एग्रीकल्चर
HIV	एच आई वी
HD Dev Gowda	एच डी देव गौड़ा
HD Deve Gowda	एच डी देवगौड़ा
HD Deve Gowda	एच डी देवे गौड़ा
HD Deve Gowda	एच डी देवेगौड़ा
HIV	एचआईवी
HRW	एचआरडबल्यू
HA	एचए
Html	एचटीएमएल
Hdfc	एचडीएफसी
HDFC bank	एचडीएफसी बैंक
Agent	एजंट
Agent	एजन्ट
education	एजुकेशन
Agent	एजेंट
Agenda	एजेंडा
The agency	एजेंसी
Agent	एजेन्ट
Agenda	एजेन्डा
Agency	एजेन्सी
Et	एट
Atom	एटम
Atom bomb	एटम बम
Atombam	एटमबम
Atlas	एटलस
Atlas Mountains	एटलस पर्वत
Etah	एटा
Eta district	एटा ज़िला
Eta district	एटा जिला
Eta city	एटा शहर
Attorney general	एटार्नी जनरल
ATM	एटीएम
Etigua	एटीगुआ-वासी
Ategui	एटीगुआई
Etiuga	एटीगुआवासी
Attendance Register	एटेंडेन्स रजिस्टर
